Clostridium ljungdahlii
Clostridium malenominatum
Clostridium mayombei
Clostridium novyi
Clostridium oceanicum
Clostridium oroticum
Clostridium scatologenes
Clostridium sporosphaeroides
Clostridium subterminale
Clostridium aurantibutyricum
Clostridium tetanomorphum
Clostridium acidurici
Clostridium tertium
Moorella thermoautotrophica
Clostridium baratii
Desulfosporosinus orientis
Desulfotomaculum ruminis
Desulfotomaculum nigrificans
Desulfotomaculum australicum
Quinella ovalis
Halobacillus halophilus
Sporosarcina ureae
Leifsonia xyli
Lactobacillus acidophilus
Lactobacillus brevis
Lactobacillus buchneri
Lactobacillus casei
Weissella confusa
Lactobacillus delbrueckii
Lactobacillus helveticus
Lactobacillus hilgardii
Lactobacillus pentosus
Lactobacillus plantarum
Lactobacillus sp.
Lactobacillus sp. 30A
Lactobacillus gasseri
Lactobacillus paracasei
Lactobacillus reuteri
Lactobacillus sakei
Lactobacillus acetotolerans
Lactobacillus agilis
Lactobacillus alimentarius
Lactobacillus amylophilus
Lactobacillus amylovorus
Lactobacillus animalis
Lactobacillus aviarius
Lactobacillus bifermentans
Lactobacillus coryniformis
Lactobacillus farciminis
Lactobacillus fermentum
Lactobacillus fructivorans
Weissella halotolerans
Weissella kandleri
Lactobacillus mali
Weissella minor
Lactobacillus murinus
Lactobacillus ruminis
Lactobacillus salivarius
Lactobacillus sanfranciscensis
Lactobacillus sharpeae
Lactobacillus thermophilus
Lactobacillus vermiforme
Weissella viridescens
Kandleria vitulina
Fructobacillus fructosus
Lactobacillus oris
Lactobacillus vaginalis
Listeria ivanovii
Listeria monocytogenes
Listeria seeligeri
Listeria grayi
Listeria innocua
Listeria welshimeri
Renibacterium salmoninarum
Erysipelothrix rhusiopathiae
Kurthia zopfii
Alloiococcus otitis
Actinomyces naeslundii
Actinomyces viscosus
Actinobaculum suis
Actinomyces bovis
Actinomyces israelii
Actinomyces odontolyticus
Trueperella pyogenes
Arthrobacter glacialis
Arthrobacter globiformis
Arthrobacter sp.
Arthrobacter sp. NRRL B3728
Arthrobacter citreus
Arthrobacter oxydans
Arthrobacter ramosus
Arthrobacter viscosus
Arthrobacter polychromogenes
Arthrobacter pascens
Bifidobacterium adolescentis
Bifidobacterium bifidum
Bifidobacterium angulatum
Bifidobacterium asteroides
Bifidobacterium breve
Bifidobacterium catenulatum
Bifidobacterium coryneforme
Bifidobacterium cuniculi
Bifidobacterium dentium
Bifidobacterium indicum
Bifidobacterium magnum
Bifidobacterium minimum
Bifidobacterium pseudolongum
Corynebacterium ammoniagenes
Brevibacterium epidermidis
Brevibacterium sp.
Brevibacterium sterolicum
Brevibacterium linens
Brevibacterium helvolum
Corynebacterium stationis
Cellulomonas fimi
Cellulomonas biazotea
Cellulosimicrobium cellulans
Cellulomonas flavigena
Cellulomonas gelida
Oerskovia turbata
Cellulomonas uda
Corynebacterium diphtheriae
Corynebacterium glutamicum
Corynebacterium pseudotuberculosis
Corynebacterium sp.
Corynebacterium callunae
Corynebacterium nephridii
Corynebacterium renale
Corynebacterium xerosis
Corynebacterium variabile
Eubacterium acidaminophilum
Eubacterium oxidoreducens
Eubacterium limosum
Thermodesulfobacterium commune
Propionibacterium freudenreichii
Propionibacterium acnes
Propionibacterium acidipropionici
Propionibacterium jensenii
Propionibacterium propionicum
Propionibacterium thoenii
Propioniferax innocua
Thermoanaerobacter sp.
Thermoanaerobacter ethanolicus
Mycobacterium avium
Mycobacterium bovis
Mycobacterium fortuitum
Mycobacterium intracellulare
Mycobacterium kansasii
Mycobacterium leprae
Mycobacterium phlei
Mycobacterium smegmatis
Mycobacterium tuberculosis
Mycobacterium chelonae
Mycobacterium cookii
Mycobacterium flavescens
Mycobacterium gastri
Mycobacterium gordonae
Mycobacterium komossense
Mycobacterium malmoense
Mycobacterium marinum
Mycobacterium nonchromogenicum
Mycobacterium scrofulaceum
Mycobacterium simiae
Mycobacterium sp.
Mycobacterium sphagni
Mycobacterium szulgai
Mycobacterium terrae
Mycobacterium xenopi
Mycobacterium asiaticum
Mycobacterium aurum
Mycobacterium chitae
Mycobacterium fallax
Mycobacterium gadium
Mycobacterium neoaurum
Mycobacterium senegalense
Mycobacterium thermoresistibile
Mycobacterium triviale
Mycobacterium aichiense
Mycobacterium chubuense
Mycobacterium diernhoferi
Mycobacterium farcinogenes
Mycobacterium gilvum
Mycobacterium microti
Mycobacterium obuense
Mycobacterium ulcerans
Mycobacterium vaccae
Amycolatopsis methanolica
Actinokineospora fastidiosa
Nocardia globerula
Nocardia sp.
Nocardia vaccinii
Nocardia otitidiscaviarum
Nocardia asteroides
Rhodococcus fascians
Rhodococcus rhodochrous
Rhodococcus ruber
Rhodococcus sp.
Rhodococcus erythropolis
Saccharopolyspora erythraea
Saccharopolyspora hirsuta
Saccharopolyspora hordei
Nocardioides albus
Nocardioides jensenii
Nocardioides luteus
Pseudonocardia thermophila
Actinopolyspora halophila
Saccharomonospora viridis
Frankia sp.
Frankia sp. CpI1
Frankia sp. FaC1
Frankia sp. ArI3
Frankia alni
Geodermatophilus obscurus
Dermatophilus congolensis
Actinoplanes missouriensis
Actinoplanes teichomyceticus
Actinoplanes digitatis
Actinoplanes utahensis
Actinoplanes sp.
Actinoplanes sp. ATCC 31351
Micromonospora chalcea
Micromonospora sp.
Micromonospora echinospora
Micromonospora rosea
Micromonospora zionensis
